score	negative_comment	city_name	date	positive_comment	target	overall_comment
7.1		t-ai-pei	2018年5月15日		信星青年旅馆 - 台北车站	家庭房床很大
10		kao-hsiung	2017年7月24日		鸟巢顶级商旅	酒店很漂亮，设施齐全环境也不错。
10		kao-hsiung	2017年7月23日		鸟巢顶级商旅	酒店大堂很有特色，距离六合夜市非常近，还有免费自行车提供...
8.8		kao-hsiung	2019年1月25日		泓扬精致商旅	亲子房空间很大，好多玩具，适合家庭入住。
9.2		kao-hsiung	2018年5月15日		泓扬精致商旅	不错的，短暂停留挺好
10		kao-hsiung	2018年2月23日		城市商旅 - 真爱馆	舒適，方便
8.8		kao-hsiung	2018年2月18日		城市商旅 - 真爱馆	现代简洁
9.6		kao-hsiung	2018年10月4日		德立庄 - 高雄博爱馆	房间干净舒适，交通便捷，性价比高
10		kao-hsiung	2018年8月23日		德立庄 - 高雄博爱馆	前台专业热情，酒店地理位置极佳，周边饮食小店很多。
9.6		kao-hsiung	2019年2月24日		塩旅社	环境氛围很棒！
7.5		kao-hsiung	2019年2月18日		塩旅社	位置还可以
7.9		kao-hsiung	2018年4月11日		宫赏艺术大饭店	洗漱用品是欧舒丹
9.6		kao-hsiung	2018年3月22日		宫赏艺术大饭店	服务超好，几乎有求必应
3.8		kao-hsiung	2017年11月19日		青雨行馆 	請勿欺騙消費者謝謝
7.5		kao-hsiung	2017年10月21日		青雨行馆 	这里的服务态度真不错，特别是前台的小女生，温柔、热情...
9.6		kao-hsiung	2018年5月4日		高雄丽馨商旅七贤馆	服务态度很好，房间小而美，很干净，离捷运站800米左右...
8.8		kao-hsiung	2018年2月26日		高雄丽馨商旅七贤馆	性价比高。
10		kao-hsiung	2018年7月30日		单人房住宿空间 - 高雄林森馆	帮我把行李从寄存的它家另一家店搬来，很感谢。
3.3		kao-hsiung	2018年7月22日		单人房住宿空间 - 高雄林森馆	不滿意
10		t-ai-pei	2018年5月12日		信星青年旅馆 - 台北车站	非常好的一次体验，下次还会入住
9.6		t-ai-pei	2018年5月11日		信星青年旅馆 - 台北车站	匆匆一瞥，但感受到优秀的服务，热情的店员！
9.6		kao-hsiung	2017年6月8日		鸟巢顶级商旅	服務好。
10		kao-hsiung	2017年8月10日		鸟巢顶级商旅	位置好，服务好，餐饮好，非常喜欢
7.5		kao-hsiung	2018年4月21日		泓扬精致商旅	员工都很配合与协助我的要求
5.0		kao-hsiung	2018年4月8日		泓扬精致商旅	房間算寬敞 , 服務人員態度 OK , 反應房間沒有...
10		kao-hsiung	2018年2月17日		城市商旅 - 真爱馆	位置就在驳二艺术特区旁边，逛景点超方便，房间很大很舒适...
10		kao-hsiung	2018年2月15日		城市商旅 - 真爱馆	挺满意的，早餐种类很多，还有免费的夜宵可以吃，虽然种类不算多...
9.2		kao-hsiung	2018年8月23日		德立庄 - 高雄博爱馆	不错
7.9		kao-hsiung	2018年8月16日		德立庄 - 高雄博爱馆	地理位置很好，离高铁站很近，而且房间很干净，设施很齐全！
8.3		kao-hsiung	2019年1月13日		塩旅社	方便
7.9		kao-hsiung	2018年12月22日		塩旅社	近中心市。
10		kao-hsiung	2018年3月22日		宫赏艺术大饭店	兩次自由行，总共住了有5个晚上。
9.6		kao-hsiung	2018年3月21日		宫赏艺术大饭店	舒适，安心，方便
5.4		kao-hsiung	2017年10月17日		青雨行馆 	對房間不滿意, 但櫃台人員處理事情的積極度不錯.
8.3		kao-hsiung	2017年10月10日		青雨行馆 	快捷酒店
9.6		kao-hsiung	2018年2月9日		高雄丽馨商旅七贤馆	不错的体验
7.9		kao-hsiung	2018年2月1日		高雄丽馨商旅七贤馆	比较干净的一家酒店，位置离🚇站有点距离，不过还算方便...
10		kao-hsiung	2018年7月11日		单人房住宿空间 - 高雄林森馆	物超所值
10		kao-hsiung	2018年4月14日		单人房住宿空间 - 高雄林森馆	不錯
8.3		t-ai-pei	2018年5月10日		信星青年旅馆 - 台北车站	早餐很赞，员工超热情的，环境舒适。
10		t-ai-pei	2018年5月9日		信星青年旅馆 - 台北车站	超级舒服的一家青旅，果然是网红！很棒！
10		kao-hsiung	2017年8月10日		鸟巢顶级商旅	干净卫生、房间宽敞、服务态度很好，有问必答，好评
7.1		kao-hsiung	2017年12月4日		泓扬精致商旅	房间大，位置还OK
6.7		kao-hsiung	2017年11月27日		泓扬精致商旅	和国内的商务酒店差不多，推荐入住吧
6.3		kao-hsiung	2019年5月4日		城市商旅 - 高雄驳二馆	房间隔音效果超级差。
8.8		kao-hsiung	2019年5月31日		云端精致旅馆	房间宽敞舒适 位置也好 下面就几分钟就到六合夜市 早餐还行
9.2		kao-hsiung	2018年2月11日		城市商旅 - 真爱馆	超值
9.6		kao-hsiung	2018年2月10日		城市商旅 - 真爱馆	虽然有瑕疵，不过总体很不错。
5.8		kao-hsiung	2018年8月15日		德立庄 - 高雄博爱馆	服务时好时坏
10		kao-hsiung	2018年8月13日		德立庄 - 高雄博爱馆	位置很好，服务很好，交通方便，房间干净，设施齐全，早餐丰富
8.8		kao-hsiung	2018年12月18日		塩旅社	高性价比，环境好
10		kao-hsiung	2018年12月11日		塩旅社	一定要住
10		kao-hsiung	2018年3月19日		宫赏艺术大饭店	很满意，下次来，还会选择这里。
9.6		kao-hsiung	2018年3月11日		宫赏艺术大饭店	会想来第二次
8.3		kao-hsiung	2017年10月8日		青雨行馆 	服务很好，早餐比较棒，就是床有些窄。
8.8		kao-hsiung	2017年9月4日		青雨行馆 	很好！下次还来
5.0		kao-hsiung	2018年1月10日		高雄丽馨商旅七贤馆	早餐还可以，房间潮湿
10		kao-hsiung	2017年11月13日		高雄丽馨商旅七贤馆	早餐很棒!
10		t-ai-pei	2018年5月8日		信星青年旅馆 - 台北车站	早晨很赞，设施完善，很干净，就是多人间有时候吵点
10		t-ai-pei	2018年5月3日		信星青年旅馆 - 台北车站	lulu特别可爱
8.8		kao-hsiung	2018年1月20日		泓扬精致商旅	物超所值的住宿体验
9.6		kao-hsiung	2017年6月16日		泓扬精致商旅	房间比较大 早餐略简单 员工热情
